dataset,repeat,system,reference,poses,overlap_s,path_m,trans_rmse_m,trans_max_m,trans_final_m,rot_rmse_deg,rot_max_deg,clean_rmse_m,jumps,mean_speed_m_s,rpe1_pairs,rpe1_trans_rmse_m,rpe1_trans_median_m,rpe1_rot_rmse_deg,rpe1_rot_median_deg,rpe1_pairs_clean,rpe1_trans_rmse_clean_m,rpe1_rot_rmse_clean_deg
dataset_dynamic_nofloortexture_01_000,logging_20260916_02,VINS-Fusion+YOLO,rosbag /ground_truth/odometry,2552,84.183,2963.23198009761,796.0341328681409,1984.0594818448585,1984.0594818448585,52.565070899664406,53.973351732377566,7.766224136489474,1582,35.1998857263059,2521,47.07425086991237,25.902157530967905,2.026745494704253,0.4522057104049921,892,2.8919415985651775,3.2549444983193574
dataset_dynamic_nofloortexture_01_000,logging_20260916_02,ORB-SLAM3+YOLO,rosbag /ground_truth/odometry,993,84.447,401.1101023673058,14.780953460409902,91.35368154950727,3.1165917586761442,173.78743630737927,179.99955909554976,0.4149421283197778,26,4.749844309061373,956,3.7951910316198827,0.23853817018970913,20.49763429292118,0.5345369082239786,801,2.108917924331085,1.0444948938849454
dataset_dynamic_nofloortexture_01_000,logging_20260916_03,VINS-Fusion,rosbag /ground_truth/odometry,2552,84.183,3526.7407474297406,965.8245242554029,2414.484841567733,2414.484841567733,54.1213925092455,55.209046638915915,7.142003273670331,1619,41.89374039211884,2521,55.80701459843571,31.380101497273245,2.0633999104253578,0.42806198591883915,857,2.8210262629442684,3.4275803372806735
dataset_dynamic_nofloortexture_01_000,logging_20260916_03,ORB-SLAM3,rosbag /ground_truth/odometry,1700,84.48,1328.9082324432177,107.60276708848566,497.39649832573696,70.3009195563075,167.70243934808235,179.68513986336117,0.6367590291458669,456,15.730447827216118,1610,11.546423138087933,2.8143364191360702,23.542983269932403,2.865047045380715,581,2.46624311761251,3.8527912312018575
dataset_dynamic_nofloortexture_01_000,logging_20260916_03,VINS-Fusion+YOLO,rosbag /ground_truth/odometry,2552,84.183,2903.1693974165046,779.0988236989133,1956.4529146776501,1956.4529146776501,53.34752250461284,54.702644282206705,7.794245151900714,1574,34.4864093393738,2521,46.26518448506666,24.99430104062925,2.0597850989612567,0.41928682747009066,899,2.8608515471377736,3.3089863164068176
dataset_dynamic_nofloortexture_01_000,logging_20260916_03,ORB-SLAM3+YOLO,rosbag /ground_truth/odometry,747,84.348,9625.912144649465,749.1621201621956,4383.646202151302,301.9245674904061,162.64291721675855,176.83768066531374,0.4518214548915076,203,114.12140352645545,694,87.05875530511587,0.7948586051617517,24.161116568313574,0.6229200410767941,421,1.169749577740894,4.501686397668719
dataset_dynamic_nofloortexture_02_000,logging_20260916_01,VINS-Fusion,rosbag /ground_truth/odometry,2701,89.1,204.4535587365174,12.488036587739607,34.553903824522536,6.7669743823974615,6.072130543129557,14.792814128936838,6.798365119475636,72,2.294652735538916,2670,1.0349112570859968,0.1871369048963556,0.9898254866508462,0.24093883992430748,2275,0.7748957058575138,0.6215681366317123
dataset_dynamic_nofloortexture_02_000,logging_20260916_01,ORB-SLAM3,rosbag /ground_truth/odometry,2306,89.33099999999999,601.5988516507891,37.834051065195595,165.81166666067534,165.67128675617488,59.31950705728282,104.73792400807483,2.085163812688155,388,6.7344914044485025,2249,6.928479013604495,2.856568479710916,10.691199129755484,1.7921731491129387,1136,2.1222690766491032,1.8951771946498437
dataset_dynamic_nofloortexture_02_000,logging_20260916_01,VINS-Fusion+YOLO,rosbag /ground_truth/odometry,2679,88.374,34735.452296703814,4518.76700592957,9418.587008603403,9418.587008603403,25.093724854705066,73.64323572786078,2.091830778580379,2610,393.05058384483914,2648,256.47731449512656,141.42624383574412,12.956926125474688,3.1597409184835,27,4.89514324761361,7.811028781958473
dataset_dynamic_nofloortexture_02_000,logging_20260916_01,ORB-SLAM3+YOLO,rosbag /ground_truth/odometry,828,89.26499999999999,10497.648589405688,1097.9450070000453,4620.599611027762,493.946707662904,159.65511077519145,176.6312929772231,0.5400120141655345,231,117.60094762119184,787,127.94019728279373,0.7264801913848549,23.67980204308732,0.6437064077356577,499,1.2519290013562208,10.512404201469574
