dataset,repeat,system,delta_s,pairs,trans_rmse,trans_median,rot_rmse,rot_median,pairs_clean,trans_rmse_clean,trans_median_clean,rot_rmse_clean,rot_median_clean
dataset_dynamic_nofloortexture_00_001,logging_20260916_03,ORB-SLAM3,1.0,1749,160.76422183690116,42.861435987112586,13.39260530673817,1.1929851283380484,324,2.03551846649437,1.9826299542879762,1.3273630508576792,0.5283302832987886
dataset_dynamic_nofloortexture_00_001,logging_20260916_03,ORB-SLAM3,2.0,1691,311.1133064588467,73.6524254106023,19.147841309987275,2.530472116652526,117,3.987569977524529,4.250612470381192,2.3349958354055187,2.013594863090137
dataset_dynamic_nofloortexture_00_001,logging_20260916_03,ORB-SLAM3,5.0,1683,799.2153190449557,266.150082609072,23.84312632909135,5.693458519358824,0,nan,nan,nan,nan
dataset_dynamic_nofloortexture_00_001,logging_20260916_03,VINS-Fusion+YOLO,0.5,2208,57.96832811473946,14.889679244788836,4.976376525714279,1.2738930523843037,86,2.540406790489883,2.354756869776438,5.341358046218886,3.128570314480991
dataset_dynamic_nofloortexture_00_001,logging_20260916_03,VINS-Fusion+YOLO,1.0,2193,111.1378634287325,27.92450095364176,6.691714883898549,2.179827389140574,38,4.520478666178426,4.389592513072291,3.1751406343043245,2.5916437733053463
dataset_dynamic_nofloortexture_00_001,logging_20260916_03,VINS-Fusion+YOLO,2.0,2163,216.04590645356183,54.19604850721217,8.555750739739803,2.898195838853951,8,8.785636215602064,8.75573115854407,3.7433743865134566,3.434276834483335
dataset_dynamic_nofloortexture_00_001,logging_20260916_03,VINS-Fusion+YOLO,5.0,2072,526.2179465416523,131.56973516510573,11.8176303375431,5.360490029227102,0,nan,nan,nan,nan
dataset_dynamic_nofloortexture_00_001,logging_20260916_03,ORB-SLAM3+YOLO,0.5,823,18.46275481962567,1.2314299880021076,10.89488559682307,0.3481878971135677,438,1.4079878407583022,0.4816095772529433,0.5812851352168915,0.24411292532359638
dataset_dynamic_nofloortexture_00_001,logging_20260916_03,ORB-SLAM3+YOLO,1.0,862,36.884134982549845,2.4362600153065106,14.093422106722958,0.5889486259021222,401,2.5344633056080514,0.9444827752271053,0.7964240823229136,0.3704700370827072
dataset_dynamic_nofloortexture_00_001,logging_20260916_03,ORB-SLAM3+YOLO,2.0,863,72.72426873339315,4.570540856058372,20.85394754977732,1.1726226038745995,322,4.303704759349272,1.8980425834332708,1.338278462645502,0.48237641491746897
dataset_dynamic_nofloortexture_00_001,logging_20260916_03,ORB-SLAM3+YOLO,5.0,860,177.953466156663,12.231172017237817,24.147526571383263,2.864307859544236,175,3.8249521497011143,4.865873644000649,2.206431232075967,0.40416575139755156
dataset_dynamic_nofloortexture_01_000,logging_20260916_01,VINS-Fusion,0.5,2536,27.281873433325476,15.139986976991917,1.3049454425707068,0.24023461641280167,884,1.5164098571879683,1.2499797016229692,2.1118553010117718,0.48783096729644515
dataset_dynamic_nofloortexture_01_000,logging_20260916_01,VINS-Fusion,1.0,2521,52.78026537997063,29.33941095785622,2.036503632942223,0.4262036177368982,839,2.7877082009000254,2.248348766228531,3.399836654392905,0.9548821419813016
dataset_dynamic_nofloortexture_01_000,logging_20260916_01,VINS-Fusion,2.0,2491,103.55152290825296,57.70550447626388,2.979386686203512,0.7800617851835477,776,5.05328260511318,4.112415307978475,5.134516045775119,1.5052284448207698
dataset_dynamic_nofloortexture_01_000,logging_20260916_01,VINS-Fusion,5.0,2400,255.42297604944028,143.8130562780521,3.6486138339193,1.5993116064011366,594,10.112536982640524,8.376565822164775,6.490114059943173,2.2087398830467047
