dataset,repeat,system,delta_s,pairs,trans_rmse,trans_median,rot_rmse,rot_median,pairs_clean,trans_rmse_clean,trans_median_clean,rot_rmse_clean,rot_median_clean
dataset_dynamic_nofloortexture_01_000,logging_20260916_01,ORB-SLAM3,0.5,1384,4.9812255559335386,1.069187595742274,13.653233506287958,1.4241061785294178,822,1.171777795430331,0.8653025960487377,1.7013546738786745,1.0158652631571474
dataset_dynamic_nofloortexture_01_000,logging_20260916_01,ORB-SLAM3,1.0,1369,9.059245978365958,2.061613147392207,19.35050059599718,2.674294768113401,608,2.151405519436843,1.648627622689173,3.085945809272534,2.0392446642581663
dataset_dynamic_nofloortexture_01_000,logging_20260916_01,ORB-SLAM3,2.0,1382,19.491979384434458,3.851502883683854,26.785046558921767,5.275594775932747,333,4.112649995050615,3.2600722445109396,5.928544712173415,4.876722496553374
dataset_dynamic_nofloortexture_01_000,logging_20260916_01,ORB-SLAM3,5.0,1258,38.35581165330044,9.027719813532745,32.682520050591755,10.996066320902425,84,9.649253819314206,8.308133920186542,13.448857071601871,12.190770731504667
dataset_dynamic_nofloortexture_01_000,logging_20260916_01,VINS-Fusion+YOLO,0.5,2536,21.68669637161177,11.535695745365125,1.263645086247937,0.22635052598398275,958,1.5803692362556756,1.2696389930051497,1.9882585215722375,0.4745971317366676
dataset_dynamic_nofloortexture_01_000,logging_20260916_01,VINS-Fusion+YOLO,1.0,2521,41.947424297201664,22.348271297436312,1.946992647153201,0.4227309986495699,928,2.959351848130525,2.3539651909863375,3.1113016048049342,0.8217767713250134
dataset_dynamic_nofloortexture_01_000,logging_20260916_01,VINS-Fusion+YOLO,2.0,2491,82.26033121777867,43.92476132569928,2.8629317145099713,0.763446269484592,868,5.454968918637358,4.428395395600546,4.677423905163786,1.4304823020286803
dataset_dynamic_nofloortexture_01_000,logging_20260916_01,VINS-Fusion+YOLO,5.0,2400,202.58705533742628,109.41617487344601,3.491395113791567,1.6875739391608162,686,11.189627711140394,8.958893631584814,5.755049200984883,1.9789090914971612
dataset_dynamic_nofloortexture_01_000,logging_20260916_01,ORB-SLAM3+YOLO,0.5,1247,1.7485505724887378,0.20401489523502683,16.01327226367393,0.42276112797029625,1111,0.8680678718970987,0.1598062688980342,5.400332373609822,0.37211210908439335
dataset_dynamic_nofloortexture_01_000,logging_20260916_01,ORB-SLAM3+YOLO,1.0,1244,2.434753049835325,0.3406572435651526,22.698361302628197,0.7115494995997876,1022,1.5699574287678464,0.26876725836593207,8.16741400049171,0.5524769379149786
dataset_dynamic_nofloortexture_01_000,logging_20260916_01,ORB-SLAM3+YOLO,2.0,1222,4.313067933344119,0.8093990562093557,31.682149663145324,1.5185658874266352,888,3.025462247476027,0.4616903989194286,9.319526885986319,0.9783007806798274
dataset_dynamic_nofloortexture_01_000,logging_20260916_01,ORB-SLAM3+YOLO,5.0,1204,10.076933367701317,2.0382508870673783,41.51321670020224,5.090405544052141,573,5.007660547686641,0.9373159776808557,4.325343685370969,1.4609834568675493
dataset_dynamic_nofloortexture_01_000,logging_20260916_02,VINS-Fusion,0.5,2536,25.785184323556166,14.214248704526213,1.3415427787523637,0.23020330734569233,896,1.5306397638838218,1.2556257499962258,2.1293805211054346,0.4970575582282772
dataset_dynamic_nofloortexture_01_000,logging_20260916_02,VINS-Fusion,1.0,2521,49.88378691449889,27.54536912778311,2.0654933530736166,0.4246940846462816,851,2.8296226029949074,2.267670787635363,3.3889431562225543,0.9365790036771771
dataset_dynamic_nofloortexture_01_000,logging_20260916_02,VINS-Fusion,2.0,2491,97.87108899936928,54.168087503334796,2.9997254641276547,0.7715749391275921,774,5.079836153061392,4.063087487540483,5.1497610396267435,1.573151389339467
