tree,system,dataset,repeat,status,treatment_status,shutdown,initialized,initialization_evidence,summary_schema_status,sensor_duration_s,input_frames,processed_frames,dropped_frames,processed_fraction_pct,throughput_hz,poses,pose_rate_hz,initialization_s,tracking_losses_or_resets,tracking_loss_duration_s,keyframes,loop_closures,map_merges,cpu_avg_pct_one_core,memory_median_mb,memory_peak_mb,replay_rate,detection_frames_matched,detection_frames_missed,masks_rejected,dynamic_points_dropped
output_orb,ORB-SLAM3,dataset_static_nofloortexture_002,logging_20260916_01,valid,baseline,graceful,1,run_summary,complete,89.397,2166.0,1689.0,477.0,77.97783933518005,18.893251451390984,1688.0,18.8820653936933,0.099,0.0,0.0,261.0,2.0,0.0,425.1665094563903,942.453125,1186.4375,0.5,0.0,0.0,0.0,0.0
output_orb,ORB-SLAM3,dataset_static_nofloortexture_002,logging_20260916_02,valid,baseline,graceful,1,run_summary,complete,89.43,2154.0,1518.0,636.0,70.47353760445682,16.974169741697416,1517.0,16.962987811696298,0.066,0.0,0.0,242.0,2.0,0.0,436.3813319424684,928.392578125,1173.48828125,0.5,0.0,0.0,0.0,0.0
output_orb,ORB-SLAM3,dataset_static_nofloortexture_002,logging_20260916_03,valid,baseline,graceful,1,run_summary,complete,89.43,2162.0,1455.0,707.0,67.29879740980573,16.26970815162697,1454.0,16.25852622162585,0.033,0.0,0.0,232.0,2.0,0.0,438.96019552687505,922.10546875,1145.6328125,0.5,0.0,0.0,0.0,0.0
output_vins_yolo,VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_00_000,logging_20260916_01,valid,filter_inactive,graceful,1,run_summary,complete,77.418,2186.0,2186.0,0.0,100.0,28.23632746906404,2175.0,28.09424164922886,0.33,0.0,0.0,nan,0.0,0.0,487.78544195030065,931.0703125,1039.34375,0.5,0.0,2186.0,0.0,0.0
output_vins_yolo,VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_00_000,logging_20260916_02,valid,filter_inactive,graceful,1,run_summary,complete,77.418,2244.0,2244.0,0.0,100.0,28.98550724637681,2233.0,28.843421426541628,0.33,0.0,0.0,nan,0.0,0.0,481.9430257199825,930.107421875,1078.60546875,0.5,0.0,2244.0,0.0,0.0
output_vins_yolo,VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_00_000,logging_20260916_03,valid,filter_inactive,graceful,1,run_summary,complete,77.418,2068.0,2068.0,0.0,100.0,26.712134129013922,2057.0,26.57004830917874,0.33,0.0,0.0,nan,0.0,0.0,494.1211721023017,918.037109375,1061.5625,0.5,0.0,2068.0,0.0,0.0
output_vins_yolo,VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_00_001,logging_20260916_01,valid,filter_inactive,graceful,1,run_summary,complete,73.722,2235.0,2235.0,0.0,100.0,30.316594774965413,2224.0,30.16738558367923,0.33,0.0,0.0,nan,0.0,0.0,363.79667460717536,326.19140625,391.90234375,0.5,0.0,2235.0,0.0,0.0
output_vins_yolo,VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_00_001,logging_20260916_02,valid,filter_inactive,graceful,1,run_summary,complete,73.722,2235.0,2235.0,0.0,100.0,30.316594774965413,2224.0,30.16738558367923,0.33,0.0,0.0,nan,0.0,0.0,367.77718663772333,327.375,399.171875,0.5,0.0,2235.0,0.0,0.0
output_vins_yolo,VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_00_001,logging_20260916_03,valid,filter_inactive,graceful,1,run_summary,complete,73.722,2235.0,2235.0,0.0,100.0,30.316594774965413,2224.0,30.16738558367923,0.33,0.0,0.0,nan,0.0,0.0,360.56292048695605,322.47265625,396.75390625,0.5,0.0,2235.0,0.0,0.0
output_vins_yolo,VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_01_000,logging_20260916_01,valid,filter_inactive,graceful,1,run_summary,complete,84.546,2563.0,2563.0,0.0,100.0,30.31485818371064,2552.0,30.184751496226905,0.33,0.0,0.0,nan,0.0,0.0,195.35820510230187,332.30859375,424.6875,0.5,0.0,2563.0,0.0,0.0
output_vins_yolo,VINS-Fusion+YOLO,dataset_dynamic_nofloortexture_01_000,logging_20260916_02,valid,filter_inactive,graceful,1,run_summary,complete,84.546,2563.0,2563.0,0.0,100.0,30.31485818371064,2552.0,30.184751496226905,0.33,0.0,0.0,nan,0.0,0.0,393.33102490897795,344.125,418.20703125,0.5,0.0,2563.0,0.0,0.0
