system,dataset,repeat,module,events,median_ms,iqr_ms,p95_ms,max_ms
ORB-SLAM3,dataset_static_nofloortexture_000,logging_20260916_01,tracking_total_ms,1173,80.374,26.117000000000004,112.11919999999998,254.362
ORB-SLAM3,dataset_static_nofloortexture_000,logging_20260916_01,feature_stereo_ms,1173,55.482,18.538000000000004,80.84479999999999,213.714
ORB-SLAM3,dataset_static_nofloortexture_000,logging_20260916_01,local_mapping_total_ms,216,403.1245,176.05525,553.5345,1616.37
ORB-SLAM3,dataset_static_nofloortexture_000,logging_20260916_01,local_BA_ms,216,322.849,149.96975000000003,453.703,587.772
ORB-SLAM3,dataset_static_nofloortexture_000,logging_20260916_01,place_recognition_ms,263,37.60156,80.07680649999999,124.22308849999986,189.236028
ORB-SLAM3,dataset_static_nofloortexture_000,logging_20260916_02,tracking_total_ms,994,89.84100000000001,40.098749999999995,157.73809999999997,221.887
ORB-SLAM3,dataset_static_nofloortexture_000,logging_20260916_02,feature_stereo_ms,994,63.888999999999996,32.330749999999995,116.94645,181.151
ORB-SLAM3,dataset_static_nofloortexture_000,logging_20260916_02,local_mapping_total_ms,205,439.838,271.566,647.3142,2106.31
ORB-SLAM3,dataset_static_nofloortexture_000,logging_20260916_02,local_BA_ms,205,359.862,231.68699999999998,547.0762,695.575
ORB-SLAM3,dataset_static_nofloortexture_000,logging_20260916_02,place_recognition_ms,251,44.690217,93.5720415,141.664172,314.611862
ORB-SLAM3,dataset_static_nofloortexture_000,logging_20260916_03,tracking_total_ms,1216,77.229,25.02199999999999,109.33,212.082
ORB-SLAM3,dataset_static_nofloortexture_000,logging_20260916_03,feature_stereo_ms,1216,53.5895,17.53,78.3905,163.414
ORB-SLAM3,dataset_static_nofloortexture_000,logging_20260916_03,local_mapping_total_ms,224,390.03049999999996,168.88149999999996,525.8779499999999,1972.234
ORB-SLAM3,dataset_static_nofloortexture_000,logging_20260916_03,local_BA_ms,224,307.062,146.70924999999997,429.42965,537.91
ORB-SLAM3,dataset_static_nofloortexture_000,logging_20260916_03,place_recognition_ms,270,36.783834,78.24211475,110.57151225,189.368282
ORB-SLAM3,dataset_static_nofloortexture_001,logging_20260916_01,tracking_total_ms,1009,81.978,20.599999999999994,112.5202,219.747
ORB-SLAM3,dataset_static_nofloortexture_001,logging_20260916_01,feature_stereo_ms,1009,57.587,15.736000000000004,81.03919999999998,153.024
